file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Ames-TP3-4231_10_2,533.71,536.0,106742,715.245,715.0,143049,499.235,498.0,99847,0.1640287857025133,0.1599465999002976,32.80575714050267,0.1500269557505291,0.1444018888254828,30.00539115010583,-0.1500269557505291,-0.1444018888254828,-30.00539115010583,0.7959333414506219,0.7950003673528776,159.18666829012437,0.7351274460280698,0.7338647081572436,147.02548920561395,1.1937850346025904,1.1923812632100428,238.7570069205181,0.3529888752377254,0.3528580508582932,70.59777504754507,2236.83,2247.5,447366,437.4,437.0,87480,4678.075,4688.0,935615,Ames-TP3-4231,10,2,4231,29500.0,17.5,152.81,59.0,,,,,,,,,,,0.0,200.0,PHP02 X W606S
Ames-TP3-4231_10_3,568.25,572.5,113650,762.015,764.0,152403,525.245,525.0,105049,0.1670328394867311,0.1629847497703642,33.406567897346235,0.1494993640059767,0.1451741625988433,29.899872801195343,-0.1494993640059767,-0.1451741625988433,-29.899872801195343,0.7733280986964851,0.7698656067280185,154.66561973929703,0.7065131443906821,0.7070070937384909,141.30262887813643,1.1598754202699926,1.154682866705336,231.97508405399853,0.3211656281669834,0.3208240676604982,64.2331256333967,2270.775,2268.0,454155,455.62,458.0,91124,4421.055,4421.5,884211,Ames-TP3-4231,10,3,4231,30500.0,18.19,153.29,61.0,,,,,,,,,,,4.92,191.0,HOEGEMEYER 8065RR
Ames-TP3-4231_10_4,539.825,543.0,107965,729.4,735.5,145880,507.9,510.5,101580,0.167333695194443,0.1659702559594009,33.46673903888861,0.1546514115294621,0.1511824689993454,30.930282305892423,-0.1546514115294621,-0.1511824689993454,-30.930282305892423,0.7872286364847634,0.7875578308218887,157.44572729695267,0.7219915814151437,0.7220865001427195,144.39831628302875,1.1807252357844835,1.1812243965668174,236.1450471568968,0.3303359186490264,0.3318129636979487,66.06718372980528,2266.625,2275.5,453325,442.595,441.0,88519,4507.24,4511.5,901448,Ames-TP3-4231,10,4,4231,26000.0,17.33,146.77,52.0,,,,,,,,,,,0.0,218.0,PHK56 X PHJ89
Ames-TP3-4231_10_5,521.3482587064676,525.0,104791,743.9452736318408,754.0,149533,513.179104477612,516.0,103149,0.1823443096987578,0.1805441055234954,36.651206249450325,0.1804943020144356,0.1775147928994082,36.27935470490156,-0.1804943020144356,-0.1775147928994082,-36.27935470490156,0.7991560737042421,0.7987398072646404,160.63037081455266,0.7244773709156253,0.723313102463406,145.61995155404068,1.1986174010830588,1.1979987028629668,240.9220976176948,0.335112003369842,0.3350399036289715,67.35751267733825,2311.233830845771,2336.0,464558,446.6666666666667,445.0,89780,4640.905472636816,4671.0,932822,Ames-TP3-4231,10,5,4231,34000.0,12.95,109.4,68.0,,,,,,,,,,,0.0,242.0,B73 X PHZ51
Ames-TP3-4231_10_6,560.9333333333333,569.0,126210,732.6622222222222,742.0,164849,501.0933333333333,507.0,112746,0.1632844865964357,0.1589331384727804,36.73900948419804,0.1385157785271763,0.1346444780635401,31.166050168614674,-0.1385157785271763,-0.1346444780635401,-31.166050168614674,0.7597242320795624,0.758957654723127,170.93795221790154,0.6964132710392612,0.6968105065666041,156.69298598383378,1.1394630635282426,1.138304059555659,256.3791892938545,0.3066649226374537,0.3069908814589666,68.99960759342709,2167.64,2167.0,487719,447.3288888888889,448.0,100649,4088.595555555556,4055.0,919934,Ames-TP3-4231,10,6,4231,34000.0,12.54,119.39,68.0,,,,,,,,,,,0.0,186.0,2FACC X 3IIH6
Ames-TP3-4231_10_7,669.5942028985507,690.0,138606,890.5942028985507,911.0,184353,569.2753623188406,580.0,117840,0.1842379382202319,0.1772151898734177,38.13725321158801,0.148528834717064,0.1394230769230769,30.74546878643226,-0.148528834717064,-0.1394230769230769,-30.74546878643226,0.7351057278287635,0.7295839753466872,152.16688566055404,0.6609700334168276,0.6552271374727237,136.8207969172833,1.1025473299931734,1.094270582571016,228.22729730858688,0.2698363317351651,0.2693965517241379,55.856120669179184,2494.9806763285023,2534.0,516461,481.4396135265701,486.0,99658,4336.657004830918,4373.0,897688,Ames-TP3-4231,10,7,4231,34500.0,6.31,62.87,69.0,,,,,,,,,,,0.0,212.0,PHZ51 X LH145
Ames-TP3-4231_11_2,441.765,438.0,88353,607.96,606.5,121592,435.2,432.0,87040,0.1664491232650425,0.1659341083186794,33.2898246530085,0.165610326227272,0.1620029674696729,33.12206524545441,-0.165610326227272,-0.1620029674696729,-33.12206524545441,0.8100377544292343,0.8105720225720225,162.00755088584685,0.7465640015148738,0.7464990598793415,149.31280030297475,1.2149244627269409,1.2157255208905986,242.98489254538816,0.3617948598923707,0.3612507622020704,72.35897197847414,1956.46,1964.5,391292,416.125,412.5,83225,4175.95,4184.5,835190,Ames-TP3-4231,11,2,4231,25500.0,13.03,123.24,51.0,,,,,,,,,,,0.0,212.0,PHK76 X W606S
Ames-TP3-4231_11_3,535.1,538.5,107020,760.465,770.5,152093,514.78,515.5,102956,0.1870299090051228,0.1824837055374407,37.40598180102457,0.1805945706328273,0.1757776462394881,36.11891412656546,-0.1805945706328273,-0.1757776462394881,-36.11891412656546,0.8012478511935904,0.8022554457773294,160.2495702387181,0.727659803751801,0.7269615755093675,145.53196075036018,1.2017580868935724,1.2032677391998714,240.35161737871448,0.3387709524970404,0.3391137291952981,67.75419049940808,2371.565,2426.0,474313,451.52,452.5,90304,4799.815,4883.5,959963,Ames-TP3-4231,11,3,4231,32000.0,13.94,113.07,64.0,,,,,,,,,,,1.56,230.0,LH123HT X PHB47
Ames-TP3-4231_11_4,483.64878048780486,477.0,99148,661.4243902439024,655.0,135592,457.8487804878049,455.0,93859,0.1745711193903734,0.167910447761194,35.787079475026545,0.1653092829062069,0.1502683363148479,33.88840299577243,-0.1653092829062069,-0.1502683363148479,-33.88840299577243,0.8012374583189386,0.7994734532689777,164.2536789553824,0.7361486700280632,0.7365388436320286,150.91047735575296,1.2017300709093524,1.1990786442908852,246.35466453641723,0.3383605876218944,0.3390631714654061,69.36392046248837,2139.0,2105.0,438495,425.9073170731708,421.0,87311,4327.546341463415,4314.0,887147,Ames-TP3-4231,11,4,4231,24000.0,14.08,120.13,48.0,,,,,,,,,,,0.0,219.0,PHP02 X PHN46
Ames-TP3-4231_11_5,502.6711111111111,517.0,113101,679.9866666666667,692.0,152997,472.8,482.0,106380,0.1700900006105676,0.1633401221995926,38.27025013737772,0.158458475039892,0.1460494812450119,35.65315688397572,-0.158458475039892,-0.1460494812450119,-35.65315688397572,0.7988298955448068,0.7950369388141694,179.73672649758151,0.7356124116907274,0.7342301399745501,165.51279263041368,1.1981226858902263,1.1924424661426272,269.57760432530097,0.3479079961004005,0.3493609251369446,78.27929912259012,2149.137777777778,2168.0,483556,426.55555555555554,433.0,95975,4446.337777777778,4497.0,1000426,Ames-TP3-4231,11,5,4231,30000.0,18.77,141.98,60.0,,,,,,,,,,,0.0,223.0,PHW52 X PHM49
